datetime,IMERG_PRECTOT
2006-01-01,0.59
2006-01-02,4.45
2006-01-03,0.08
2006-01-04,0.17
2006-01-05,0.34
2006-01-06,0.46
2006-01-07,2.13
2006-01-08,4.12
2006-01-09,3.67
2006-01-10,0.32
2006-01-11,9.53
2006-01-12,5.75
2006-01-13,0.05
2006-01-14,0.04
2006-01-15,0.54
2006-01-16,0.06
2006-01-17,6.0
2006-01-18,1.38
2006-01-19,1.18
2006-01-20,4.01
2006-01-21,1.23
2006-01-22,4.75
2006-01-23,0.01
2006-01-24,1.02
2006-01-25,7.57
2006-01-26,0.02
2006-01-27,5.05
2006-01-28,3.97
2006-01-29,0.7
2006-01-30,3.58
2006-01-31,0.25
2006-02-01,8.56
2006-02-02,8.29
2006-02-03,3.9
2006-02-04,15.13
2006-02-05,0.04
2006-02-06,0.0
2006-02-07,0.0
2006-02-08,0.0
2006-02-09,1.82
2006-02-10,0.0
2006-02-11,1.2
2006-02-12,0.83
2006-02-13,1.04
2006-02-14,9.73
2006-02-15,0.79
2006-02-16,0.57
2006-02-17,0.01
2006-02-18,0.02
2006-02-19,1.84
2006-02-20,5.66
2006-02-21,0.0
2006-02-22,0.06
2006-02-23,0.0
2006-02-24,0.0
2006-02-25,0.0
2006-02-26,0.0
2006-02-27,0.0
2006-02-28,0.0
2006-03-01,0.45
2006-03-02,4.67
2006-03-03,0.34
2006-03-04,1.29
2006-03-05,1.15
2006-03-06,0.51
2006-03-07,4.3
2006-03-08,34.62
2006-03-09,4.93
2006-03-10,4.88
2006-03-11,15.96
2006-03-12,0.66
2006-03-13,10.32
2006-03-14,5.57
2006-03-15,3.12
2006-03-16,0.0
2006-03-17,0.18
2006-03-18,6.06
2006-03-19,34.51
2006-03-20,11.58
2006-03-21,2.34
2006-03-22,0.08
2006-03-23,0.21
2006-03-24,1.12
2006-03-25,5.47
2006-03-26,6.24
2006-03-27,0.0
2006-03-28,0.0
2006-03-29,0.0
2006-03-30,0.0
2006-03-31,9.65
2006-04-01,9.59
2006-04-02,0.34
2006-04-03,0.84
2006-04-04,3.09
2006-04-05,11.45
2006-04-06,2.22
2006-04-07,0.66
2006-04-08,11.8
2006-04-09,0.0
2006-04-10,11.48
2006-04-11,0.0
2006-04-12,1.03
2006-04-13,22.48
2006-04-14,1.47
2006-04-15,0.44
2006-04-16,8.17
2006-04-17,0.39
2006-04-18,0.11
2006-04-19,0.14
2006-04-20,3.03
2006-04-21,3.7
2006-04-22,0.63
2006-04-23,12.38
2006-04-24,6.73
2006-04-25,11.77
2006-04-26,0.16
2006-04-27,0.06
2006-04-28,1.12
2006-04-29,15.61
2006-04-30,6.65
2006-05-01,1.46
2006-05-02,1.85
2006-05-03,0.05
2006-05-04,3.39
2006-05-05,11.89
2006-05-06,0.2
2006-05-07,2.1
2006-05-08,16.3
2006-05-09,2.69
2006-05-10,1.32
2006-05-11,0.57
2006-05-12,0.28
2006-05-13,0.7
2006-05-14,2.07
2006-05-15,0.44
2006-05-16,14.6
2006-05-17,5.34
2006-05-18,9.14
2006-05-19,4.03
2006-05-20,1.42
2006-05-21,0.77
2006-05-22,0.47
2006-05-23,0.3
2006-05-24,0.34
2006-05-25,14.16
2006-05-26,0.43
2006-05-27,0.21
2006-05-28,0.26
2006-05-29,0.16
2006-05-30,0.05
2006-05-31,0.0
2006-06-01,0.0
2006-06-02,0.0
2006-06-03,0.0
2006-06-04,0.88
2006-06-05,0.02
2006-06-06,7.45
2006-06-07,8.24
2006-06-08,0.0
2006-06-09,0.0
2006-06-10,0.75
2006-06-11,0.69
2006-06-12,0.0
2006-06-13,0.0
2006-06-14,0.0
2006-06-15,0.0
2006-06-16,0.0
2006-06-17,0.0
2006-06-18,0.0
2006-06-19,0.0
2006-06-20,10.61
2006-06-21,0.16
2006-06-22,0.0
2006-06-23,8.44
2006-06-24,3.28
2006-06-25,0.0
2006-06-26,0.0
2006-06-27,0.0
2006-06-28,0.0
2006-06-29,0.0
2006-06-30,0.0
2006-07-01,0.0
2006-07-02,0.0
2006-07-03,0.11
2006-07-04,10.87
2006-07-05,0.0
2006-07-06,0.0
2006-07-07,0.0
2006-07-08,0.0
2006-07-09,0.0
2006-07-10,0.0
2006-07-11,9.52
2006-07-12,6.74
2006-07-13,12.94
2006-07-14,0.0
2006-07-15,0.01
2006-07-16,0.02
2006-07-17,0.0
2006-07-18,0.0
2006-07-19,0.0
2006-07-20,0.0
2006-07-21,20.46
2006-07-22,5.96
2006-07-23,2.05
2006-07-24,0.03
2006-07-25,0.0
2006-07-26,0.0
2006-07-27,0.0
2006-07-28,0.0
2006-07-29,0.71
2006-07-30,19.3
2006-07-31,0.15
2006-08-01,0.12
2006-08-02,0.0
2006-08-03,0.1
2006-08-04,0.22
2006-08-05,0.06
2006-08-06,0.0
2006-08-07,0.0
2006-08-08,0.0
2006-08-09,0.0
2006-08-10,0.03
2006-08-11,0.0
2006-08-12,0.0
2006-08-13,0.84
2006-08-14,0.03
2006-08-15,0.0
2006-08-16,0.0
2006-08-17,0.09
2006-08-18,0.0
2006-08-19,0.01
2006-08-20,0.0
2006-08-21,2.23
2006-08-22,3.38
2006-08-23,4.55
2006-08-24,0.0
2006-08-25,0.1
2006-08-26,0.0
2006-08-27,0.0
2006-08-28,3.58
2006-08-29,0.56
2006-08-30,0.04
2006-08-31,0.05
2006-09-01,7.17
2006-09-02,6.94
2006-09-03,0.0
2006-09-04,13.55
2006-09-05,5.34
2006-09-06,0.09
2006-09-07,0.0
2006-09-08,0.05
2006-09-09,0.86
2006-09-10,0.0
2006-09-11,1.3
2006-09-12,0.05
2006-09-13,0.0
2006-09-14,0.0
2006-09-15,0.0
2006-09-16,0.0
2006-09-17,0.0
2006-09-18,0.0
2006-09-19,1.29
2006-09-20,0.0
2006-09-21,0.0
2006-09-22,0.0
2006-09-23,0.0
2006-09-24,0.0
2006-09-25,1.06
2006-09-26,0.0
2006-09-27,0.0
2006-09-28,0.04
2006-09-29,0.0
2006-09-30,0.0
2006-10-01,0.0
2006-10-02,0.04
2006-10-03,0.0
2006-10-04,1.44
2006-10-05,0.04
2006-10-06,0.0
2006-10-07,0.05
2006-10-08,0.0
2006-10-09,0.01
2006-10-10,0.11
2006-10-11,0.04
2006-10-12,0.0
2006-10-13,0.06
2006-10-14,0.03
2006-10-15,0.2
2006-10-16,9.63
2006-10-17,0.83
2006-10-18,0.05
2006-10-19,0.02
2006-10-20,0.0
2006-10-21,0.02
2006-10-22,0.13
2006-10-23,3.5
2006-10-24,0.04
2006-10-25,0.01
2006-10-26,0.0
2006-10-27,0.01
2006-10-28,0.01
2006-10-29,0.98
2006-10-30,2.84
2006-10-31,0.01
2006-11-01,0.03
2006-11-02,0.0
2006-11-03,0.03
2006-11-04,2.96
2006-11-05,0.61
2006-11-06,7.49
2006-11-07,3.68
2006-11-08,0.0
2006-11-09,0.0
2006-11-10,4.74
2006-11-11,16.31
2006-11-12,0.68
2006-11-13,0.07
2006-11-14,1.18
2006-11-15,0.0
2006-11-16,2.13
2006-11-17,0.0
2006-11-18,0.0
2006-11-19,0.01
2006-11-20,0.0
2006-11-21,0.04
2006-11-22,0.0
2006-11-23,0.0
2006-11-24,1.71
2006-11-25,0.0
2006-11-26,0.0
2006-11-27,0.0
2006-11-28,0.0
2006-11-29,0.0
2006-11-30,0.01
2006-12-01,2.31
2006-12-02,0.22
2006-12-03,0.0
2006-12-04,0.0
2006-12-05,0.0
2006-12-06,0.0
2006-12-07,0.0
2006-12-08,0.04
2006-12-09,0.01
2006-12-10,3.28
2006-12-11,4.94
2006-12-12,0.56
2006-12-13,1.95
2006-12-14,0.1
2006-12-15,10.49
2006-12-16,0.0
2006-12-17,0.01
2006-12-18,2.73
2006-12-19,0.92
2006-12-20,0.0
2006-12-21,0.18
2006-12-22,0.01
2006-12-23,0.01
2006-12-24,0.0
2006-12-25,0.06
2006-12-26,0.0
2006-12-27,0.0
2006-12-28,0.0
2006-12-29,0.0
2006-12-30,14.69
2006-12-31,1.3
2007-01-01,0.21
2007-01-02,5.77
2007-01-03,0.72
2007-01-04,0.45
2007-01-05,0.68
2007-01-06,0.52
2007-01-07,0.01
2007-01-08,0.45
2007-01-09,0.04
2007-01-10,0.0
2007-01-11,0.0
2007-01-12,0.54
2007-01-13,0.33
2007-01-14,0.17
2007-01-15,5.75
2007-01-16,0.04
2007-01-17,4.25
2007-01-18,1.72
2007-01-19,0.91
2007-01-20,0.19
2007-01-21,0.0
2007-01-22,0.0
2007-01-23,0.06
2007-01-24,0.03
2007-01-25,0.02
2007-01-26,0.14
2007-01-27,0.25
2007-01-28,3.51
2007-01-29,0.44
2007-01-30,0.52
2007-01-31,4.81
2007-02-01,4.29
2007-02-02,1.41
2007-02-03,0.0
2007-02-04,0.0
2007-02-05,0.0
2007-02-06,0.0
2007-02-07,4.38
2007-02-08,18.09
2007-02-09,3.76
2007-02-10,0.77
2007-02-11,0.0
2007-02-12,0.0
2007-02-13,0.0
2007-02-14,5.32
2007-02-15,8.12
2007-02-16,0.0
2007-02-17,21.71
2007-02-18,0.01
2007-02-19,0.03
2007-02-20,0.0
2007-02-21,0.0
2007-02-22,3.3
2007-02-23,0.0
2007-02-24,25.97
2007-02-25,1.25
2007-02-26,0.0
2007-02-27,8.38
2007-02-28,0.92
2007-03-01,0.16
2007-03-02,13.42
2007-03-03,9.35
2007-03-04,0.0
2007-03-05,0.02
2007-03-06,15.23
2007-03-07,1.42
2007-03-08,0.01
2007-03-09,1.4
2007-03-10,0.0
2007-03-11,0.0
2007-03-12,12.8
2007-03-13,12.35
2007-03-14,0.0
2007-03-15,1.34
2007-03-16,0.45
2007-03-17,0.0
2007-03-18,0.0
