datetime,IMERG_PRECTOT
2006-01-01,0.46
2006-01-02,0.02
2006-01-03,2.42
2006-01-04,0.0
2006-01-05,0.0
2006-01-06,0.0
2006-01-07,0.69
2006-01-08,1.83
2006-01-09,2.8
2006-01-10,0.87
2006-01-11,7.01
2006-01-12,3.69
2006-01-13,1.4
2006-01-14,0.92
2006-01-15,0.35
2006-01-16,5.54
2006-01-17,13.95
2006-01-18,9.71
2006-01-19,2.04
2006-01-20,0.0
2006-01-21,0.35
2006-01-22,5.95
2006-01-23,2.77
2006-01-24,11.86
2006-01-25,2.62
2006-01-26,0.33
2006-01-27,4.21
2006-01-28,3.78
2006-01-29,9.58
2006-01-30,9.97
2006-01-31,0.0
2006-02-01,16.45
2006-02-02,0.0
2006-02-03,5.5
2006-02-04,2.09
2006-02-05,0.02
2006-02-06,0.01
2006-02-07,0.0
2006-02-08,0.0
2006-02-09,0.01
2006-02-10,3.76
2006-02-11,0.31
2006-02-12,0.43
2006-02-13,0.0
2006-02-14,3.25
2006-02-15,9.21
2006-02-16,0.95
2006-02-17,0.0
2006-02-18,0.0
2006-02-19,1.31
2006-02-20,4.45
2006-02-21,0.0
2006-02-22,0.0
2006-02-23,0.0
2006-02-24,0.63
2006-02-25,0.17
2006-02-26,0.0
2006-02-27,0.0
2006-02-28,0.3
2006-03-01,6.0
2006-03-02,3.88
2006-03-03,1.45
2006-03-04,10.69
2006-03-05,0.52
2006-03-06,1.69
2006-03-07,9.98
2006-03-08,26.08
2006-03-09,0.01
2006-03-10,8.35
2006-03-11,1.12
2006-03-12,0.49
2006-03-13,0.7
2006-03-14,0.0
2006-03-15,0.38
2006-03-16,12.44
2006-03-17,20.2
2006-03-18,12.53
2006-03-19,21.39
2006-03-20,5.47
2006-03-21,14.47
2006-03-22,2.35
2006-03-23,1.7
2006-03-24,4.12
2006-03-25,1.38
2006-03-26,17.93
2006-03-27,0.06
2006-03-28,0.02
2006-03-29,0.74
2006-03-30,0.0
2006-03-31,27.19
2006-04-01,1.77
2006-04-02,0.0
2006-04-03,0.27
2006-04-04,0.05
2006-04-05,3.97
2006-04-06,21.76
2006-04-07,0.0
